"aX","aY","aZ","gX","gY","gZ"
"0.457","0.27","0.909","15.686","-0.61","7.019"
"0.442","0.246","0.907","12.207","3.479","7.385"
"0.437","0.253","0.908","8.24","7.874","9.46"
"0.445","0.324","0.874","6.226","12.146","13"
"0.456","0.396","0.815","5.432","15.686","14.771"
"0.474","0.443","0.779","6.042","15.869","13.977"
"0.492","0.469","0.784","6.226","14.893","11.902"
"0.504","0.469","0.784","5.31","14.771","8.911"
"0.491","0.439","0.75","4.639","16.541","5.615"
"0.479","0.363","0.713","4.578","17.212","2.686"
"0.471","0.337","0.696","5.615","16.235","2.869"
"0.468","0.341","0.678","7.996","14.404","4.7"
"0.467","0.333","0.683","10.01","12.146","6.409"
"0.473","0.345","0.734","11.047","9.094","8.606"
"0.486","0.396","0.77","11.536","8.179","10.925"
"0.491","0.426","0.757","12.024","9.399","11.597"
"0.501","0.441","0.771","11.658","9.644","11.23"
"0.511","0.49","0.81","10.742","9.705","11.169"
"0.514","0.524","0.829","10.254","11.414","10.01"
"0.513","0.536","0.823","9.521","14.099","7.141"
"0.506","0.529","0.832","8.789","15.625","3.784"
"0.492","0.482","0.841","8.85","17.09","0.366"
"0.468","0.429","0.845","8.789","18.86","-1.587"
"0.446","0.402","0.82","9.338","20.691","-1.77"
"0.434","0.377","0.818","11.292","20.63","-1.16"
"0.421","0.39","0.854","13.489","18.982","0.122"
"0.411","0.419","0.869","16.052","18.921","1.77"
"0.401","0.405","0.857","19.348","20.02","2.563"
"0.389","0.369","0.846","22.034","20.874","3.479"
"0.385","0.371","0.812","23.804","21.851","5.615"
"","","","","",""
"2.551","-0.476","-0.567","4.7","7.935","-4.7"
"2.74","-0.614","-0.965","13.123","-1.953","-8.179"
"2.796","-0.955","-1.456","6.958","-3.052","-16.785"
"2.743","-1.248","-1.84","-21.912","-4.517","-23.499"
"2.655","-1.436","-1.906","-54.993","-15.076","-21.667"
"2.438","-1.518","-2.104","-75.928","-26.245","-8.362"
"2.182","-1.439","-2.445","-88.379","-36.072","10.681"
"2.025","-0.573","-2.445","-103.394","-69.458","40.222"
"1.765","0.48","-2.091","-118.408","-121.582","57.739"
"1.259","0.644","-1.567","-138.306","-161.011","25.513"
"0.58","0.266","-1.073","-169.067","-178.467","-14.587"
"-0.096","1.063","-0.489","-219.36","-183.105","-17.822"
"-1.027","1.182","-0.337","-251.099","-175.415","-30.762"
"-1.941","1.151","-0.277","-248.23","-182.983","-36.377"
"-2.434","1.868","0.23","-228.516","-227.6","-7.263"
"-2.993","2.916","0.894","-198.425","-277.832","39.612"
"-3.119","3.62","1.833","-148.926","-323.303","54.321"
"-2.728","3.528","3.856","-84.29","-393.738","11.292"
"-3.045","2.268","4","-35.034","-413.086","-38.452"
"-2.202","1.092","4","6.592","-294.556","-52.979"
"-1.69","1.828","4","38.757","-141.846","-5.371"
"-1.282","1.186","4","43.274","-23.926","-6.836"
"-0.961","0.188","3.457","28.992","70.007","-35.156"
"-0.735","-0.387","1.682","-5.92","173.523","-35.95"
"-0.375","-0.51","-0.138","-50.72","245.361","-20.874"
"0.058","0.003","-1.182","-79.895","240.662","10.437"
"0.392","0.557","-1.69","-85.693","194.275","34.302"
"0.559","0.925","-1.866","-71.899","136.475","35.889"
"0.578","1.033","-1.451","-41.626","64.209","27.832"
"0.514","0.805","-0.722","-10.437","-1.038","11.414"
"0.43","0.764","0.005","12.756","-42.114","6.348"
"0.389","0.748","0.461","25.635","-53.223","4.15"
"0.35","0.573","0.612","24.658","-41.077","-3.662"
"0.339","0.353","0.607","9.399","-22.034","-10.803"
"0.354","0.21","0.546","-11.169","-4.211","-12.024"
"0.402","0.177","0.456","-29.419","8.423","-7.751"
"0.495","0.361","0.353","-41.077","15.32","-0.183"
"0.562","0.617","0.325","-43.03","13.062","5.859"
"0.605","0.72","0.432","-36.194","3.662","3.784"
"0.59","0.75","0.564","-24.048","-5.066","-1.831"
"0.529","0.694","0.71","-11.841","-12.939","-8.789"
"0.47","0.594","0.835","-2.319","-19.287","-15.747"
"0.396","0.509","0.908","6.226","-22.827","-20.508"
"0.321","0.359","1.001","13.428","-25.391","-25.024"
"0.257","0.231","1.092","17.822","-26.001","-26.733"
"0.213","0.153","1.14","18.738","-22.095","-24.536"
"0.187","0.115","1.142","18.555","-16.174","-19.897"
"0.208","0.068","1.144","18.677","-11.658","-14.221"
"0.263","0.094","1.136","18.188","-6.653","-6.592"
"0.329","0.173","1.07","16.357","0.488","0.671"
"0.389","0.272","0.924","13.672","8.728","5.92"
"0.438","0.377","0.79","12.085","13.306","9.155"
"0.468","0.444","0.733","11.047","12.573","9.521"
"0.485","0.469","0.716","9.766","10.437","7.69"
"0.484","0.468","0.659","10.559","9.155","5.554"
"0.488","0.457","0.631","11.902","6.165","4.028"
"0.49","0.443","0.666","13.489","0.977","2.991"
"0.478","0.441","0.71","14.709","-2.441","2.502"
"0.47","0.413","0.761","16.174","-5.493","1.892"
"0.467","0.378","0.835","16.052","-8.118","1.709"
"0.451","0.341","0.896","14.465","-7.751","2.258"
"0.458","0.306","0.912","12.756","-4.883","4.272"
"0.465","0.316","0.891","10.742","-1.465","7.324"
"0.484","0.332","0.842","7.263","2.563","10.01"
"0.489","0.34","0.815","3.357","5.981","11.658"
"0.503","0.364","0.766","-0.183","9.033","13.245"
"0.515","0.405","0.728","-3.418","10.742","14.587"
"0.544","0.462","0.681","-6.531","11.23","15.015"
"0.569","0.541","0.664","-10.315","10.681","14.282"
"0.584","0.561","0.695","-13.123","8.484","11.414"
"0.589","0.545","0.703","-13.184","7.019","7.69"
"0.591","0.568","0.67","-10.986","5.92","5.615"
"0.583","0.566","0.623","-8.423","3.784","3.052"
"0.564","0.511","0.665","-7.08","-0.854","-0.488"
"0.554","0.479","0.76","-6.226","-5.188","-2.38"
"0.534","0.442","0.809","-4.822","-5.92","-3.662"
"0.509","0.376","0.784","-3.723","-3.296","-5.066"
"0.493","0.327","0.761","-4.211","-1.221","-4.761"
"0.468","0.301","0.732","-4.333","-0.854","-2.991"
"0.452","0.275","0.72","-1.953","-2.686","-1.16"
"0.447","0.267","0.766","1.526","-7.08","0.916"
"0.447","0.257","0.815","4.517","-10.193","3.174"
"0.445","0.261","0.819","5.798","-9.949","5.432"
"0.443","0.296","0.808","5.981","-9.216","7.874"
"0.443","0.342","0.815","6.531","-9.949","9.399"
"0.436","0.384","0.849","9.46","-12.268","9.644"
"0.432","0.396","0.894","12.634","-14.282","8.24"
"0.427","0.418","0.967","14.648","-14.587","6.714"
"0.415","0.406","0.999","15.93","-11.536","4.822"
"0.4","0.338","0.973","15.808","-5.798","2.197"
"0.383","0.28","0.946","14.282","-1.221","1.648"
"0.385","0.289","0.936","12.451","1.709","3.906"
"0.385","0.319","0.929","10.437","5.31","6.531"
"0.391","0.329","0.898","8.789","9.521","8.057"
"0.402","0.352","0.861","6.836","13.489","9.888"
"0.428","0.422","0.787","4.456","16.724","12.39"
"0.456","0.496","0.7","2.563","18.86","13.611"
"0.481","0.531","0.658","0.671","17.761","12.329"
"0.485","0.525","0.644","-0.244","15.198","9.705"
"0.489","0.499","0.609","0.244","13.733","7.324"
"0.487","0.495","0.563","1.465","12.024","6.592"
"0.49","0.538","0.536","2.014","8.484","6.714"
"0.478","0.547","0.585","2.563","2.93","4.944"
"0.47","0.49","0.681","3.357","-2.258","1.587"
"0.456","0.456","0.754","2.563","-3.418","0.244"
"0.447","0.433","0.78","0.793","-1.343","0.549"
"0.447","0.419","0.75","-1.709","1.587","1.099"
"0.457","0.454","0.684","-3.418","3.601","2.563"
"0.456","0.459","0.697","-3.784","2.258","2.93"
"0.453","0.432","0.731","-2.991","0.366","2.014"
"0.455","0.437","0.737","-2.136","0.977","2.38"
"0.465","0.474","0.725","-2.075","1.892","3.479"
"0.461","0.494","0.681","-2.563","2.136","3.479"
"0.458","0.486","0.698","-2.625","0.183","1.831"
"0.452","0.447","0.756","-1.465","-3.113","0.122"
"0.437","0.4","0.772","-0.305","-3.662","-0.793"
"0.414","0.368","0.763","0.305","-2.563","-0.549"
"0.397","0.337","0.757","0.488","-2.014","0.305"
"0.39","0.363","0.765","0.793","-2.808","2.38"
"","","","","",""
"2.263","-0.39","-0.077","18.127","1.526","-22.766"
"2.53","-0.441","-0.405","0.488","9.216","-25.574"
"2.915","-0.563","-1.089","-19.287","23.132","-31.189"
"3.305","-0.675","-2.1","-46.021","37.048","-35.156"
"3.407","-0.881","-3.001","-85.754","33.569","-40.649"
"3.271","-1.377","-3.307","-117.004","-1.282","-53.284"
"2.994","-1.9","-3.36","-111.633","-57.007","-71.045"
"2.582","-2.776","-3.558","-80.505","-119.141","-92.041"
"2.028","-2.938","-3.21","-49.316","-195.068","-13.428"
"1.62","-1.696","-2.257","-51.697","-266.663","71.472"
"1.093","0.052","-1.453","-66.101","-309.509","123.962"
"0.219","1.195","-0.63","-70.068","-339.233","119.751"
"-0.556","1.583","0.864","-64.575","-381.958","78.369"
"-0.978","2.023","2.426","-90.393","-380.005","36.621"
"-1.787","3.573","1.933","-169.678","-263.489","23.804"
"-2.888","3.575","0.411","-256.226","-143.127","-63.293"
"-3.653","2.719","0.733","-285.889","-151.55","-145.752"
"-3.62","2.216","1.946","-247.986","-228.21","-145.203"
"-3.367","2.418","2.637","-159.241","-272.217","-102.905"
"-3.663","2.069","4","-66.406","-313.11","-75.439"
"-2.683","1.393","4","22.949","-320.007","-55.481"
"-2.065","1.612","4","95.52","-266.724","-9.46"
"-1.691","0.576","4","106.384","-155.823","-10.437"
"-1.464","-0.338","4","60.608","-12.268","-22.522"
"-1.246","-0.434","3.758","-12.268","142.822","-5.554"
"-0.921","-0.112","2.059","-84.473","270.325","8.789"
"-0.497","0.28","0.638","-124.878","332.642","15.259"
"-0.183","0.698","-0.736","-118.713","345.825","20.752"
"0.074","0.771","-1.932","-92.529","323.914","14.587"
