"aX","aY","aZ","gX","gY","gZ"
"0.505","-0.242","-0.197","21.851","48.035","9.216"
"0.566","-0.145","-0.143","17.09","41.626","14.404"
"0.606","-0.1","-0.1","15.076","36.011","14.832"
"0.654","-0.118","-0.06","13.306","31.616","13"
"0.685","-0.14","-0.017","10.681","28.32","10.925"
"0.714","-0.151","0.036","6.226","26.733","10.01"
"0.756","-0.138","0.046","1.221","28.015","9.583"
"0.783","-0.105","-0.016","-1.648","30.518","9.033"
"0.805","-0.09","-0.084","-1.587","29.358","6.653"
"0.82","-0.121","-0.121","-0.183","23.437","3.174"
"0.842","-0.164","-0.122","0.549","16.113","0.61"
"0.848","-0.161","-0.104","1.282","8.667","0"
"0.853","-0.173","-0.079","1.709","2.502","-0.427"
"0.86","-0.222","-0.008","0.61","-3.113","-1.526"
"0.856","-0.259","0.052","-0.854","-6.958","-2.136"
"0.847","-0.287","0.062","-1.343","-7.751","-1.77"
"0.833","-0.316","0.048","-1.16","-8.484","-1.099"
"0.835","-0.336","0.082","-0.61","-12.268","0.305"
"0.848","-0.328","0.205","-1.221","-18.066","2.197"
"0.865","-0.313","0.324","-2.991","-19.836","4.456"
"0.895","-0.324","0.359","-4.395","-14.648","5.859"
"0.931","-0.299","0.313","-4.456","-7.202","8.301"
"0.965","-0.229","0.249","-4.333","-2.136","10.864"
"0.998","-0.159","0.237","-3.845","-1.465","11.536"
"1.022","-0.118","0.232","-2.686","-1.953","9.766"
"1.038","-0.092","0.185","-1.038","-1.343","6.714"
"1.041","-0.083","0.14","1.16","-2.625","3.174"
"1.038","-0.094","0.143","3.174","-6.958","-0.61"
"1.026","-0.118","0.186","4.15","-11.597","-4.211"
"0.994","-0.161","0.227","4.578","-13.916","-7.629"
"0.964","-0.246","0.242","4.272","-13.245","-10.742"
"0.942","-0.298","0.237","3.479","-11.23","-11.169"
"0.926","-0.3","0.238","2.38","-10.01","-8.85"
"0.903","-0.303","0.248","0.977","-8.728","-6.958"
"0.902","-0.328","0.252","-0.305","-7.08","-6.165"
