"aX","aY","aZ","gX","gY","gZ"
"-0.461","-0.206","1.211","-183.044","-251.77","208.984"
"-0.416","-0.092","1.245","-169.434","-255.493","203.43"
"-0.385","-0.014","1.301","-154.175","-262.695","191.406"
"-0.388","0.033","1.414","-143.494","-274.231","177.979"
"-0.388","0.047","1.554","-139.771","-286.499","165.466"
"-0.373","0.045","1.733","-146.301","-296.143","158.936"
"-0.364","0.068","1.926","-157.532","-302.002","161.926"
"-0.395","0.136","2.1","-165.161","-302.124","174.072"
"-0.429","0.242","2.266","-165.833","-295.044","191.711"
"-0.486","0.388","2.402","-158.569","-279.48","209.351"
"-0.526","0.552","2.509","-142.578","-255.249","220.398"
"-0.593","0.711","2.59","-120.361","-223.755","220.276"
"-0.596","0.833","2.647","-95.215","-186.218","205.933"
"-0.661","0.88","2.665","-65.674","-144.958","178.955"
"-0.604","0.839","2.624","-32.288","-103.394","145.508"
"-0.634","0.717","2.5","-6.897","-58.35","114.136"
"-0.557","0.526","2.35","9.521","-21.79","93.994"
"-0.495","0.386","2.215","25.33","3.784","93.933"
"-0.402","0.351","2.09","37.781","23.193","113.403"
"-0.32","0.439","1.999","47.546","38.635","144.653"
"-0.296","0.605","1.935","55.847","50.598","180.42"
"-0.297","0.774","1.864","67.139","62.195","212.463"
"-0.332","0.924","1.788","76.294","75.378","234.375"
"-0.347","1.046","1.697","80.383","90.454","243.591"
"-0.346","1.148","1.582","81.726","107.361","239.38"
"-0.356","1.236","1.453","84.412","123.108","225.037"
"-0.355","1.302","1.304","88.806","135.803","200.378"
"-0.333","1.322","1.15","88.562","145.02","165.527"
"-0.321","1.282","0.994","81.116","150.024","123.84"
"-0.295","1.177","0.847","69.214","149.475","79.956"
"-0.278","1.022","0.726","52.429","142.151","39.612"
"-0.249","0.843","0.619","36.621","129.883","7.385"
"-0.198","0.66","0.533","23.376","111.877","-14.343"
"-0.16","0.517","0.493","11.536","86.121","-23.132"
"-0.125","0.419","0.508","0.854","55.908","-20.325"
"-0.104","0.362","0.558","-8.362","27.771","-10.681"
"-0.098","0.343","0.654","-15.564","3.296","2.38"
"-0.106","0.37","0.792","-20.874","-15.564","17.944"
"-0.113","0.432","0.932","-23.926","-26.001","32.043"
"-0.133","0.508","1.043","-25.635","-27.405","41.687"
"-0.138","0.579","1.124","-25.452","-20.813","45.044"
"-0.137","0.634","1.156","-22.949","-7.446","41.931"
"-0.144","0.675","1.139","-16.663","8.728","34.18"
"-0.155","0.69","1.062","-7.141","25.085","23.254"
"-0.148","0.664","0.968","1.465","37.231","9.888"
"-0.148","0.617","0.878","8.118","43.518","-2.319"
"-0.143","0.55","0.811","12.878","44.067","-13.367"
"-0.124","0.478","0.766","13.855","40.405","-22.339"
"-0.112","0.419","0.731","13.977","33.936","-27.283"
"-0.11","0.377","0.709","11.597","25.085","-29.663"
"-0.114","0.338","0.709","6.226","14.343","-32.166"
"-0.123","0.298","0.722","-0.244","3.906","-35.034"
"-0.123","0.252","0.744","-7.202","-5.31","-38.33"
"-0.137","0.21","0.789","-14.648","-14.465","-41.077"
"-0.143","0.178","0.853","-21.545","-22.827","-42.175"
"-0.169","0.155","0.932","-28.198","-28.931","-42.175"
"-0.153","0.13","1.006","-34.119","-31.128","-42.297"
"-0.184","0.111","1.059","-36.865","-28.748","-41.809"
"","","","","",""
"-0.559","-0.502","2.016","-148.499","-158.203","-14.526"
"-0.575","-0.533","2.299","-159.363","-156.311","3.296"
"-0.531","-0.522","2.574","-159.851","-140.686","33.386"
"-0.456","-0.45","2.796","-148.376","-109.131","74.707"
"-0.422","-0.287","2.921","-128.418","-63.721","122.681"
"-0.444","-0.029","2.954","-100.525","-13.916","172.485"
"-0.541","0.274","2.894","-65.063","34.79","216.309"
"-0.668","0.546","2.776","-30.701","80.444","246.46"
"-0.826","0.785","2.674","-3.479","115.601","264.832"
"-0.931","0.978","2.603","13.062","139.954","275.696"
"-1.012","1.151","2.551","18.677","158.386","283.63"
"-1.115","1.341","2.528","13.611","173.035","294.312"
"-1.258","1.557","2.494","2.502","187.073","307.678"
"-1.433","1.807","2.458","-12.39","200.439","318.42"
"-1.603","2.07","2.446","-29.968","213.867","320.007"
"-1.767","2.344","2.444","-44.617","232.361","308.594"
"-1.887","2.572","2.41","-53.406","261.292","281.067"
"-2.005","2.758","2.313","-51.453","300.354","238.281"
"-2.12","2.884","2.144","-41.87","348.022","179.871"
"-2.24","2.915","1.888","-29.602","399.109","106.628"
"-2.337","2.808","1.566","-17.029","449.646","19.714"
"-2.412","2.59","1.214","-7.446","493.774","-69.336"
"-2.469","2.273","0.879","-3.418","528.625","-153.015"
"-2.512","1.924","0.573","-1.343","553.223","-225.22"
"-2.505","1.592","0.28","2.93","566.65","-279.114"
"-2.444","1.306","0.024","6.653","568.237","-313.171"
"-2.342","1.066","-0.184","7.202","558.655","-329.834"
"-2.207","0.881","-0.38","5.981","540.771","-331.848"
"-2.093","0.745","-0.532","2.93","513.611","-325.012"
"-1.99","0.644","-0.662","-2.808","482.361","-315.43"
"-1.869","0.546","-0.785","-15.076","448.547","-306.641"
"-1.749","0.457","-0.885","-36.743","411.621","-298.523"
"-1.644","0.383","-0.925","-68.665","369.934","-292.236"
"-1.582","0.31","-0.951","-105.53","324.829","-290.466"
"-1.525","0.223","-0.974","-137.695","280.029","-294.373"
"-1.443","0.105","-0.983","-168.335","235.84","-303.589"
"-1.385","-0.042","-0.968","-196.228","189.392","-313.904"
"-1.334","-0.217","-0.919","-219.116","140.991","-321.045"
"-1.283","-0.404","-0.84","-236.145","93.811","-322.754"
"-1.202","-0.584","-0.754","-247.864","50.415","-316.65"
"-1.08","-0.758","-0.643","-254.883","10.437","-302.612"
"-0.966","-0.902","-0.525","-256.165","-26.245","-280.884"
"-0.863","-1.014","-0.409","-253.479","-59.021","-253.845"
"-0.771","-1.118","-0.252","-257.568","-88.013","-224.243"
"-0.707","-1.192","-0.083","-261.902","-111.084","-191.284"
"-0.698","-1.237","0.092","-266.968","-127.075","-156.372"
"-0.691","-1.259","0.263","-273.926","-134.888","-121.399"
"-0.607","-1.263","0.384","-273.01","-133.545","-87.158"
"-0.49","-1.241","0.409","-261.475","-123.962","-54.443"
"-0.448","-1.19","0.381","-238.708","-116.455","-25.452"
"-0.465","-1.107","0.347","-210.51","-117.859","-1.465"
"-0.495","-1.019","0.347","-185.364","-126.953","16.846"
"-0.512","-0.954","0.385","-171.143","-140.869","30.762"
"-0.493","-0.909","0.479","-167.725","-158.142","42.664"
"-0.477","-0.856","0.601","-171.631","-176.392","55.542"
"-0.439","-0.791","0.714","-180.359","-191.772","70.007"
"-0.452","-0.702","0.808","-188.599","-203.491","83.923"
"-0.429","-0.607","0.86","-191.772","-212.524","95.093"
"-0.451","-0.518","0.891","-185.547","-221.68","102.783"
"-0.44","-0.458","0.946","-177.795","-232.483","105.835"
"-0.449","-0.429","1.038","-171.753","-244.08","104.858"
"-0.456","-0.422","1.178","-168.701","-254.15","103.088"
"-0.465","-0.411","1.326","-165.222","-259.705","103.516"
"-0.498","-0.392","1.458","-160.95","-258.911","106.262"
"-0.498","-0.376","1.571","-155.579","-253.784","110.474"
"-0.428","-0.378","1.668","-147.949","-245.239","117.004"
"-0.362","-0.365","1.73","-137.207","-233.337","128.967"
"-0.324","-0.309","1.779","-126.221","-220.825","148.437"
"-0.299","-0.214","1.817","-115.906","-209.351","172.668"
"-0.281","-0.1","1.877","-106.201","-197.388","196.533"
"-0.282","0.042","1.916","-95.886","-181.274","217.529"
"-0.338","0.209","1.912","-80.933","-160.217","233.093"
"-0.37","0.363","1.844","-58.96","-138.55","238.281"
"-0.387","0.48","1.759","-33.508","-121.338","233.215"
"-0.371","0.564","1.702","-10.376","-111.877","221.191"
"-0.364","0.625","1.688","8.606","-108.154","205.322"
"-0.376","0.654","1.698","12.634","-104.492","184.692"
"-0.36","0.64","1.742","8.057","-99.854","160.889"
"-0.314","0.591","1.778","-3.357","-93.445","139.038"
"-0.268","0.554","1.796","-13.855","-84.167","124.817"
"-0.235","0.536","1.803","-19.531","-72.754","118.103"
"-0.206","0.529","1.771","-19.409","-58.228","114.868"
"-0.152","0.508","1.704","-14.16","-41.809","114.807"
"-0.117","0.514","1.604","-1.526","-26.489","120.85"
"-0.054","0.547","1.519","15.381","-15.137","133.911"
"-0.009","0.595","1.461","34.607","-9.399","151.184"
"-0.021","0.68","1.442","52.368","-8.24","172.363"
"-0.093","0.791","1.437","61.157","-9.46","192.932"
"-0.17","0.913","1.472","57.8","-10.742","206.116"
"-0.237","1.036","1.513","43.518","-7.08","208.008"
"-0.291","1.148","1.507","26.611","2.869","198.303"
"-0.348","1.254","1.438","15.442","16.296","178.284"
"-0.414","1.333","1.343","10.864","26.672","147.461"
"-0.423","1.327","1.241","6.348","33.386","104.187"
"-0.411","1.193","1.135","-1.099","35.889","53.345"
"-0.386","0.969","1.069","-11.78","31.921","9.338"
"-0.355","0.74","1.053","-20.813","21.667","-17.761"
"-0.332","0.579","1.094","-27.649","7.935","-27.1"
"-0.314","0.481","1.182","-34.607","-4.333","-23.621"
"-0.293","0.438","1.294","-41.687","-10.315","-13.733"
"-0.28","0.43","1.35","-43.457","-5.432","-2.136"
"-0.274","0.442","1.336","-36.926","7.263","8.423"
"-0.282","0.467","1.26","-23.193","22.949","17.09"
"-0.296","0.501","1.176","-7.874","35.828","21.851"
"-0.299","0.522","1.116","2.991","45.227","21.057"
"-0.3","0.518","1.076","9.949","53.04","15.137"
"-0.29","0.487","1.032","13.977","60.425","6.042"
"-0.272","0.444","0.972","16.296","66.895","-2.441"
"-0.231","0.388","0.886","16.418","70.74","-9.705"
"-0.18","0.338","0.811","15.381","69.336","-12.634"
"-0.129","0.311","0.75","15.015","62.805","-9.216"
"-0.112","0.332","0.711","14.771","51.941","-0.854"
"-0.109","0.38","0.703","13","38.086","7.751"
"-0.129","0.45","0.742","9.583","23.437","12.695"
"-0.135","0.501","0.815","5.127","10.864","11.658"
"-0.187","0.527","0.882","0.305","3.052","4.7"
"-0.192","0.51","0.942","-5.493","1.16","-6.287"
"-0.213","0.46","0.948","-10.986","3.845","-20.691"
"-0.231","0.379","0.941","-14.587","7.568","-34.668"
"","","","","",""
"-0.403","-0.42","2.075","-110.413","-148.01","20.386"
"-0.467","-0.396","2.374","-126.465","-158.081","46.021"
"-0.538","-0.31","2.696","-143.86","-157.104","80.383"
"-0.603","-0.158","3.02","-158.936","-140.869","121.155"
"-0.664","0.061","3.29","-167.603","-105.957","166.626"
"-0.724","0.358","3.465","-160.889","-52.612","215.637"
"-0.812","0.721","3.503","-135.864","13.733","264.343"
"-0.994","1.111","3.426","-100.525","88.196","306.702"
"-1.206","1.489","3.274","-66.162","163.574","334.9"
"-1.427","1.828","3.085","-39.124","236.328","344.055"
"-1.652","2.11","2.833","-18.921","303.162","333.435"
"-1.795","2.325","2.523","-0.793","360.779","303.894"
"-1.883","2.455","2.17","12.207","404.419","257.935"
"-1.898","2.487","1.818","16.479","431.519","199.524"
"-1.898","2.447","1.497","13.184","441.284","132.446"
